LAM,ESEA,WAS,WSEA,OCE,MSEA,AF,EAS,untypeable,set
0.203506358443247,0.321670505203375,0,0,0,0,0,-0.00562886952875878,0,86565_45756_177041_19872_7802
0.210696790436005,0.327929364847775,0.169761623410403,0,0.148322185425603,0.21267142040832,0,-0.0079805257402761,0,86565_45756_177041_19872_7802_127999_33803_122108_84898_72876
0.215470697977477,0.330281832763468,0.169761623410403,0,0.152718282728664,0.260631790781776,0.160747531819453,-0.00562886952875878,0,86565_45756_177041_19872_7802_127999_33803_122108_84898_72876_121242_215765_53451_132457_84561
0.52212933993317,0.340323849492962,0.274331478509535,0.189541188359172,0.180029712868056,0.260631790781776,0.160747531819453,0,0,86565_45756_177041_19872_7802_127999_33803_122108_84898_72876_121242_215765_53451_132457_84561_173498_156759_29372_83836_32080
0.52212933993317,0.352503144307459,0.274331478509535,0.257452907889746,0.181456659633911,0.260631790781776,0.118565094950275,-0.00280913949202262,0,86565_45756_177041_19872_7802_127999_33803_122108_84898_72876_121242_215765_53451_132457_84561_173498_156759_29372_83836_32080_12578_18233_27958_107441_184473
0.58337264760266,0.354990765002756,0.274331478509535,0.269071577242997,0.227961079474165,0.566960083895119,0.111196331511399,0,0,86565_45756_177041_19872_7802_127999_33803_122108_84898_72876_121242_215765_53451_132457_84561_173498_156759_29372_83836_32080_12578_18233_27958_107441_184473_47110_215433_144077_225707_46434
0.58337264760266,0.399486666533952,0.163010204081633,0.280236674566892,0.269881629940007,0.566960083895119,0.422750957715847,0,0,86565_45756_177041_19872_7802_127999_33803_122108_84898_72876_121242_215765_53451_132457_84561_173498_156759_29372_83836_32080_12578_18233_27958_107441_184473_47110_215433_144077_225707_46434_67889_145516_16080_66691_31649
0.619169230270922,0.412118225191936,0.212100660838917,0.280236674566892,0.29294247767623,0.566960083895119,0.422750957715847,0,0,86565_45756_177041_19872_7802_127999_33803_122108_84898_72876_121242_215765_53451_132457_84561_173498_156759_29372_83836_32080_12578_18233_27958_107441_184473_47110_215433_144077_225707_46434_67889_145516_16080_66691_31649_151251_121817_59581_133661_208619
0.619169230270922,0.41459409963508,0.234838665393952,0.291000514683995,0.308666195461151,0.566960083895119,0.552968615817118,0,0,86565_45756_177041_19872_7802_127999_33803_122108_84898_72876_121242_215765_53451_132457_84561_173498_156759_29372_83836_32080_12578_18233_27958_107441_184473_47110_215433_144077_225707_46434_67889_145516_16080_66691_31649_151251_121817_59581_133661_208619_102928_34760_54036_200822_183698
0.619169230270922,0.427183391184644,0.296980110550358,0.296160854062163,0.314288063354918,0.545912622025878,0.552968615817118,0,0,86565_45756_177041_19872_7802_127999_33803_122108_84898_72876_121242_215765_53451_132457_84561_173498_156759_29372_83836_32080_12578_18233_27958_107441_184473_47110_215433_144077_225707_46434_67889_145516_16080_66691_31649_151251_121817_59581_133661_208619_102928_34760_54036_200822_183698_171682_136844_59202_11024_17086
