Brazil,Colombia,Cambodia,India,Mexico,Myanmar,Thailand,Indonesia,Papua New Guinea,Bangladesh,Vietnam,Malaysia,Peru,Madagascar,China,Bhutan,Ethiopia,Iran,Sudan,Philippines,Afghanistan,untypeable,set
-0.00534002296855595,0.533057968287347,0.712764419974826,0.333159432649314,0,-0.00356004351182936,0.911790135233762,0.889032304536603,0,0,0.488682381071951,0.902159619574475,0,0,0.72845619043155,0.219244468145154,0.842427763415917,0,0,0,0.864110500499276,0,228107_213179_213148_39967_213309
0.381423978610176,0.840390197412514,0.728375241719947,0.458529288938749,0.938137538325975,0.194293695280315,0.883087942035544,0.860520113308681,0.571409596787786,0.242414664981034,0.508624897190286,0.88948060031814,0.660688470059595,-0.00503144654088025,0.743476150938074,0.575535957138339,0.98408978109025,0.361236760840472,0.497484276729535,0.411382997111681,0.8134667632919,0,228107_213179_213148_39967_213309_91113_213507_213300_58712
0.544616488550688,0.95967758188257,0.738649623693611,0.653006740625388,0.999999999999996,0.246512808658348,0.861658721952431,0.928563740359683,0.554991609783935,0.428092444245065,0.462413124483792,0.848313152852673,0.88086307996624,0.600362002478027,0.912295892312411,0.99999999999995,1,0.496532439041448,0.754501316895294,0.668991143492981,0.909031156604231,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855
0.610059169778026,0.95967758188257,0.74270290136372,0.653006740625388,0.999999999999996,0.116150442477875,0.914558096878337,0.925291613772054,0.625074059270757,0.327909724976243,0.523352947433147,0.88948060031814,0.89504336721467,0.664566923918245,0.844089157575997,0.754501316895294,1,0.496532439041448,0.754501316895294,0.668991143492981,0.909031156604231,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008
0.610059169778026,0.95967758188257,0.755155336472282,0.653006740625388,0.999999999999996,0.116150442477875,0.914558096878337,0.951455364248623,0.696045813041334,0.327909724976243,0.564161965061382,0.902159619574475,0.89504336721467,0.705325652964313,0.844089157575997,0.754501316895294,1,0.465739410985619,0.575535957138339,0.748742138364743,0.909031156604231,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521
0.705773035677479,0.95967758188257,0.767500598076453,0.653006740625388,0.999999999999996,0.21483252590157,0.914558096878337,0.957993329096869,0.715820173566651,0.584857781464976,0.577391225117733,0.88948060031814,0.921369141203425,0.705325652964313,0.844089157575997,0.893864481166894,1,0.496532439041448,0.99999999999995,0.668991143492981,0.912147715966673,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521_109747_58717_47157
0.815468894452549,0.95967758188257,0.771726447423942,0.653006740625388,0.999999999999996,0.21483252590157,0.914558096878337,0.95468663898234,0.629606598467155,0.584857781464976,0.590446402318562,0.915352542887824,0.921369141203425,0.754501316895294,0.844089157575997,0.893864481166894,1,0.496532439041448,0.99999999999995,0.668991143492981,0.912147715966673,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521_109747_58717_47157_110396
0.815468894452549,0.95967758188257,0.771726447423942,0.653006740625388,0.999999999999996,0.21483252590157,0.914558096878337,0.961204346599761,0.660434077080894,0.621207332490511,0.590446402318562,0.957828759624519,0.921369141203425,0.754501316895294,0.844089157575997,0.893864481166894,1,0.496532439041448,0.893864481166894,0.815468894452549,0.912147715966673,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521_109747_58717_47157_110396_25697
0.815468894452549,0.95967758188257,0.769669746353776,0.653006740625388,0.999999999999996,0.194293695280315,0.904128244391454,0.961262183071605,0.677525302503941,0.465739410985619,0.625995841741449,0.943702286347292,0.921369141203425,0.99999999999995,0.912295892312411,0.99999999999995,1,0.496532439041448,0.99999999999995,0.815468894452549,0.912147715966673,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521_109747_58717_47157_110396_25697_39971_195481
0.815468894452549,0.95967758188257,0.769669746353776,0.653006740625388,0.999999999999996,0.203884523590258,0.909350428857468,0.977416035828268,0.813280831096898,0.465739410985619,0.625995841741449,0.943702286347292,0.921369141203425,0.99999999999995,0.912295892312411,0.99999999999995,1,0.496532439041448,0.99999999999995,0.893864481166894,0.912147715966673,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521_109747_58717_47157_110396_25697_39971_195481_62189
